date,close,open,high,low
03/22/2021,52.6,52.55,53.4,52.5
,,,,
03/19/2021,52.95,53.15,53.35,52.5
03/18/2021,53.6,53.9,54.7,53.6
03/17/2021,53.6,52.9,54.4,52.9
03/16/2021,53.05,53.15,54,52.55
03/15/2021,52.05,52.6,53.6,52
,,,,
12/3/2021,52,53.45,53.8,52
11/3/2021,53.35,54,54.65,53.2
10/3/2021,53.7,56,56.2,53.6
9/3/2021,54.85,56.2,56.5,53.65
8/3/2021,56.25,57.4,59.2,55.75
,,,,
5/3/2021,56.85,54.1,57,54.1
4/3/2021,55,55.65,57,54.95
3/3/2021,56.25,55.1,56.8,55.05
2/3/2021,55,56.45,56.95,54.85
1/3/2021,56.35,54.1,56.95,54.05
,,,,
02/26/2021,53.7,53.65,54.75,52.95
02/25/2021,54.8,55.5,56,54.25
02/24/2021,54.8,55.65,57,53.45
02/23/2021,55.9,55.35,57,54.3
02/22/2021,55.65,54.7,57.8,54.4
,,,,
02/19/2021,53.75,51.35,54.25,50.9
02/18/2021,50.5,49.8,52.35,49.55
02/17/2021,49.5,47.75,49.65,47.45
02/16/2021,47.85,47.75,48.05,47.35
,,,,
11/2/2021,47.45,46.75,48.05,46.7
10/2/2021,46.85,47,47,46.35
9/2/2021,46.5,46.55,46.75,46.2
8/2/2021,46.75,47.3,47.55,46.55
,,,,
5/2/2021,46.9,47.2,47.55,46.8
4/2/2021,47.3,48.1,48.5,46.8
3/2/2021,48.25,48.3,49.2,47.7
2/2/2021,48.3,48.65,49.85,48.3
1/2/2021,48.45,47.5,48.85,47.5
,,,,
01/29/2021,47.3,48.2,48.8,47.2
01/28/2021,47.9,47.2,49.15,47.15
01/27/2021,47.9,46.1,48.4,45.45
01/26/2021,45.5,47.05,47.1,45.35
01/25/2021,47.15,47.35,48.6,47.05
,,,,
01/22/2021,47.6,48.5,48.8,47.15
01/21/2021,48.95,49.45,49.75,48
01/20/2021,49,50.75,51.5,48.8
01/19/2021,49.9,50,51.2,49.4
01/18/2021,49.2,47.2,49.95,47.2
,,,,
01/15/2021,47.1,47.2,48.1,46.6
01/14/2021,47.15,46.45,48.1,46.35
01/13/2021,45.95,46.55,47.95,45.9
12/1/2021,46.8,44.25,47.45,44.25
11/1/2021,43.9,42.35,45.15,42.35
,,,,
8/1/2021,41.5,39,42.5,39
7/1/2021,43.3,43.5,44.35,43.1
6/1/2021,46.65,45.8,47.45,45.1
5/1/2021,46.1,42.45,47.55,42.4
4/1/2021,43.85,43,44.8,42.2
,,,,
12/31/2020,44.2,44,44.6,44
12/30/2020,43.85,44,44.05,43.7
12/29/2020,44.65,45,45.5,44.6
12/28/2020,45.5,44.75,45.9,44.75
,,,,
12/24/2020,44.5,43.9,44.6,43.75
12/23/2020,43.85,44,44.45,43.7
12/22/2020,43.75,44.05,44.6,43.7
12/21/2020,44.15,45.4,45.45,44.15
,,,,
12/18/2020,45.55,44,46.15,44
12/17/2020,44.15,44.05,44.5,44.05
12/16/2020,44.4,44.65,45.25,44.1
12/15/2020,44.15,44.3,44.65,43.9
12/14/2020,44.2,44.3,45.3,44.2
,,,,
11/12/2020,44.3,44.95,44.95,44.3
10/12/2020,44.95,45.15,45.2,44.5
9/12/2020,45.2,45.45,45.75,45.15
8/12/2020,45.45,46,46.1,45.45
7/12/2020,46.35,46.25,46.6,46
,,,,
4/12/2020,46.75,47.2,47.25,46.5
3/12/2020,47.4,47.1,47.5,46.9
2/12/2020,46.85,46.25,47.4,46
1/12/2020,46.3,46.05,46.6,46.05
11/30/2020,46.4,47.6,47.7,46.4
,,,,
11/27/2020,47.55,47.5,47.7,47.05
11/26/2020,47.65,47.65,48.1,47.45
11/25/2020,47.6,47.6,48.2,47.6
11/24/2020,47.45,46.35,47.75,46.2
11/23/2020,46.5,46.9,47.2,46.25
,,,,
11/20/2020,46.95,46.55,47.35,46.55
11/19/2020,47.1,46.9,48.1,46.6
11/18/2020,47.05,47.35,47.45,46.8
11/17/2020,47.4,47.9,48.3,47.4
11/16/2020,48.15,48.7,49.15,47.4
,,,,
11/13/2020,50,49.6,50.1,49.35
12/11/2020,52.65,53.6,53.65,52.15
11/11/2020,53.95,52,53.95,51.7
10/11/2020,51.25,51.45,51.55,50.65
9/11/2020,50.6,50.85,51.15,50.2
,,,,
6/11/2020,50.75,50.2,50.95,50
5/11/2020,49.95,49.3,49.95,49
4/11/2020,48.05,49.05,49.15,47.9
3/11/2020,49.05,49.25,49.45,48.45
2/11/2020,48.55,47.7,48.95,47.6
,,,,
10/30/2020,47.15,47.9,47.9,46.9
10/29/2020,48.1,48.75,48.8,47.5
10/28/2020,49.05,50,50.2,49.05
10/27/2020,50.3,50,50.55,49.95
,,,,
10/23/2020,50.9,50.5,50.95,50
10/22/2020,50.5,51.3,51.45,50.2
10/21/2020,51.9,50.3,52.45,50.05
10/20/2020,49.95,49.7,50.2,49.7
10/19/2020,49.95,49.9,50.45,49.8
,,,,
10/16/2020,50,50.3,50.6,50
10/15/2020,50.25,50.85,51.2,50.25
10/14/2020,51.3,52.1,52.1,50.8
12/10/2020,50.8,49.6,51,49.6
,,,,
9/10/2020,49.95,50.2,50.55,49.85
8/10/2020,50.35,50,50.5,49.85
7/10/2020,50.4,49.8,50.6,49.5
6/10/2020,49.65,49.6,49.9,49.25
5/10/2020,49.5,50.2,50.2,49.1
,,,,
09/30/2020,49.45,49.6,50.25,48.8
09/29/2020,48.95,49.9,50.15,48.95
09/28/2020,50.05,50.15,50.6,49.65
,,,,
09/25/2020,50.35,50.2,51,50.2
09/24/2020,49.95,50.45,50.65,49.85
09/23/2020,50.9,51,51.35,50.6
09/22/2020,51.5,51.9,52.05,51.3
09/21/2020,51.9,52.9,52.95,51.75
,,,,
09/18/2020,52.45,52.75,52.9,52.25
09/17/2020,52.4,53.4,53.4,52.1
09/16/2020,53.1,53.75,53.75,53
09/15/2020,53.55,53.4,53.8,53.1
09/14/2020,53.8,53.2,53.95,53.05
,,,,
11/9/2020,53.15,53.4,53.7,52.9
10/9/2020,53.15,54,54,52.8
9/9/2020,53.85,53.2,53.85,53.05
8/9/2020,53.55,53.75,53.85,52.95
7/9/2020,52.6,52.6,53.05,52.3
,,,,
4/9/2020,53.15,52.85,53.95,52.55
3/9/2020,53,52.85,53.75,52.6
2/9/2020,53.05,53.55,53.75,52.8
1/9/2020,53.8,54,54.95,53.8
08/31/2020,54.15,57,57.2,54.15
,,,,
08/28/2020,55.8,55.6,56.7,55.15
08/27/2020,55.95,57.9,57.9,55.55
08/26/2020,57.42,57.42,57.956,57.079
08/25/2020,56.836,57.469,57.517,56.592
08/24/2020,57.517,56.592,57.81,56.592
,,,,
08/21/2020,56.884,56.543,56.933,56.202
08/20/2020,56.105,57.03,57.03,55.764
08/19/2020,57.323,58.199,58.199,56.836
08/18/2020,58.297,57.225,58.832,57.128
08/17/2020,57.079,56.982,57.858,56.884
,,,,
08/14/2020,57.128,57.371,58.004,56.689
08/13/2020,57.469,55.959,58.735,55.667
12/8/2020,55.472,55.034,55.715,54.06
11/8/2020,55.277,54.498,55.326,54.011
10/8/2020,53.378,52.988,54.011,52.55
,,,,
7/8/2020,52.452,52.501,52.891,51.965
6/8/2020,52.647,53.816,53.913,52.598
5/8/2020,54.06,52.647,54.352,52.598
4/8/2020,52.793,52.647,53.573,52.209
3/8/2020,52.501,51.527,52.55,51.527
,,,,
07/31/2020,51.722,51.819,52.55,51.673
07/30/2020,51.722,52.501,52.793,51.624
07/29/2020,52.063,51.235,52.209,51.235
07/28/2020,51.624,52.306,52.355,51.186
07/27/2020,51.624,52.55,52.647,51.624
,,,,
07/24/2020,52.111,51.965,52.842,51.624
07/23/2020,51.576,51.965,52.111,50.991
07/22/2020,51.965,52.988,53.28,51.965
07/21/2020,52.988,52.355,53.134,52.16
07/20/2020,52.355,52.598,52.842,51.965
,,,,
07/17/2020,52.745,53.573,53.573,52.647
07/16/2020,52.55,52.647,53.28,52.501
07/15/2020,52.647,53.573,53.67,52.501
07/14/2020,52.988,53.573,53.719,52.501
07/13/2020,53.67,53.28,53.962,53.28
,,,,
10/7/2020,53.475,54.157,54.936,53.085
9/7/2020,54.936,55.375,55.715,54.595
8/7/2020,54.644,55.521,55.764,54.449
7/7/2020,54.936,56.495,56.787,54.644
6/7/2020,56.446,53.524,56.446,53.329
,,,,
3/7/2020,53.232,53.232,53.329,52.452
2/7/2020,53.085,50.553,53.183,50.553
06/30/2020,50.943,51.04,51.527,50.699
06/29/2020,50.456,51.917,52.014,50.261
,,,,
06/26/2020,52.014,52.793,53.037,52.014
06/24/2020,53.573,53.426,53.865,53.329
06/23/2020,53.329,52.501,53.329,51.673
06/22/2020,52.55,53.037,53.475,52.16
,,,,
06/19/2020,52.842,53.329,53.767,52.793
06/18/2020,52.696,52.452,52.988,52.063
06/17/2020,52.745,52.55,52.939,51.819
06/16/2020,52.745,52.842,53.232,52.355
06/15/2020,51.722,52.209,52.501,51.43
,,,,
12/6/2020,52.842,52.793,53.621,52.404
11/6/2020,53.329,54.108,54.644,53.232
10/6/2020,54.303,54.936,55.667,54.157
