date,close,open,high,low
03/22/2021,0.56,0.56,0.57,0.55
,,,,
03/19/2021,0.56,0.58,0.58,0.56
03/18/2021,0.58,0.6,0.6,0.57
03/17/2021,0.59,0.6,0.6,0.58
03/16/2021,0.6,0.6,0.61,0.58
03/15/2021,0.59,0.6,0.61,0.59
,,,,
12/3/2021,0.6,0.6,0.61,0.6
11/3/2021,0.6,0.6,0.6,0.58
10/3/2021,0.6,0.61,0.62,0.59
9/3/2021,0.61,0.62,0.62,0.6
8/3/2021,0.62,0.62,0.64,0.6
,,,,
5/3/2021,0.63,0.64,0.65,0.62
4/3/2021,0.65,0.66,0.67,0.63
3/3/2021,0.66,0.66,0.66,0.65
2/3/2021,0.65,0.67,0.67,0.65
1/3/2021,0.67,0.66,0.67,0.65
,,,,
02/26/2021,0.66,0.67,0.67,0.64
02/25/2021,0.67,0.65,0.67,0.65
02/24/2021,0.65,0.67,0.69,0.65
02/23/2021,0.67,0.67,0.69,0.66
02/22/2021,0.66,0.65,0.68,0.65
,,,,
02/19/2021,0.64,0.63,0.65,0.63
02/18/2021,0.63,0.65,0.65,0.62
02/17/2021,0.64,0.63,0.65,0.62
02/16/2021,0.62,0.62,0.63,0.61
,,,,
11/2/2021,0.62,0.62,0.62,0.61
10/2/2021,0.62,0.61,0.62,0.6
9/2/2021,0.61,0.62,0.63,0.6
8/2/2021,0.62,0.65,0.65,0.61
,,,,
5/2/2021,0.64,0.64,0.67,0.64
4/2/2021,0.64,0.61,0.65,0.61
3/2/2021,0.62,0.62,0.64,0.61
2/2/2021,0.63,0.64,0.64,0.62
1/2/2021,0.63,0.64,0.64,0.62
,,,,
01/29/2021,0.64,0.64,0.66,0.6
01/28/2021,0.64,0.64,0.65,0.64
01/27/2021,0.64,0.65,0.65,0.63
01/26/2021,0.65,0.66,0.66,0.64
01/25/2021,0.66,0.68,0.69,0.65
,,,,
01/22/2021,0.68,0.68,0.69,0.67
01/21/2021,0.68,0.68,0.7,0.67
01/20/2021,0.68,0.68,0.69,0.67
01/19/2021,0.68,0.66,0.69,0.66
01/18/2021,0.66,0.68,0.69,0.66
,,,,
01/15/2021,0.67,0.68,0.69,0.67
01/14/2021,0.67,0.67,0.68,0.67
01/13/2021,0.67,0.66,0.67,0.65
12/1/2021,0.67,0.68,0.69,0.64
11/1/2021,0.68,0.7,0.71,0.67
,,,,
8/1/2021,0.7,0.7,0.71,0.69
7/1/2021,0.69,0.71,0.72,0.69
6/1/2021,0.7,0.71,0.72,0.7
5/1/2021,0.71,0.71,0.72,0.7
4/1/2021,0.7,0.71,0.74,0.7
,,,,
12/31/2020,0.71,0.71,0.72,0.71
12/30/2020,0.71,0.7,0.72,0.7
12/29/2020,0.71,0.71,0.73,0.7
12/28/2020,0.71,0.71,0.72,0.7
,,,,
12/24/2020,0.71,0.71,0.71,0.7
12/23/2020,0.71,0.72,0.72,0.7
12/22/2020,0.72,0.73,0.75,0.69
12/21/2020,0.72,0.71,0.73,0.71
,,,,
12/18/2020,0.71,0.72,0.73,0.71
12/17/2020,0.71,0.7,0.71,0.7
12/16/2020,0.7,0.68,0.71,0.66
12/15/2020,0.68,0.69,0.69,0.66
12/14/2020,0.69,0.71,0.71,0.66
,,,,
11/12/2020,0.7,0.72,0.73,0.7
10/12/2020,0.72,0.76,0.76,0.72
9/12/2020,0.75,0.75,0.76,0.75
8/12/2020,0.74,0.75,0.76,0.74
7/12/2020,0.75,0.73,0.75,0.73
,,,,
4/12/2020,0.73,0.73,0.73,0.72
3/12/2020,0.73,0.73,0.73,0.71
2/12/2020,0.73,0.74,0.74,0.73
1/12/2020,0.75,0.76,0.77,0.73
11/30/2020,0.76,0.77,0.77,0.75
,,,,
11/27/2020,0.77,0.75,0.77,0.75
11/26/2020,0.75,0.76,0.77,0.75
11/25/2020,0.75,0.74,0.76,0.74
11/24/2020,0.74,0.74,0.75,0.74
11/23/2020,0.74,0.73,0.75,0.73
,,,,
11/20/2020,0.73,0.73,0.73,0.72
11/19/2020,0.73,0.73,0.74,0.71
11/18/2020,0.73,0.74,0.75,0.72
11/17/2020,0.74,0.75,0.76,0.72
11/16/2020,0.74,0.75,0.77,0.74
,,,,
11/13/2020,0.75,0.74,0.75,0.73
12/11/2020,0.74,0.74,0.76,0.73
11/11/2020,0.74,0.74,0.74,0.73
10/11/2020,0.74,0.73,0.74,0.73
9/11/2020,0.74,0.73,0.74,0.72
,,,,
6/11/2020,0.73,0.72,0.73,0.71
5/11/2020,0.71,0.69,0.72,0.68
4/11/2020,0.7,0.7,0.7,0.68
3/11/2020,0.69,0.7,0.72,0.68
2/11/2020,0.69,0.72,0.72,0.69
,,,,
10/30/2020,0.71,0.72,0.72,0.7
10/29/2020,0.72,0.72,0.73,0.71
10/28/2020,0.72,0.72,0.74,0.71
10/27/2020,0.72,0.73,0.75,0.72
,,,,
10/23/2020,0.74,0.73,0.74,0.72
10/22/2020,0.73,0.73,0.77,0.73
10/21/2020,0.73,0.73,0.74,0.72
10/20/2020,0.72,0.72,0.73,0.72
10/19/2020,0.72,0.73,0.73,0.71
,,,,
10/16/2020,0.72,0.72,0.74,0.71
10/15/2020,0.71,0.72,0.76,0.71
10/14/2020,0.71,0.74,0.74,0.71
12/10/2020,0.73,0.74,0.74,0.72
,,,,
9/10/2020,0.73,0.73,0.74,0.71
8/10/2020,0.73,0.76,0.77,0.72
7/10/2020,0.76,0.75,0.77,0.73
6/10/2020,0.75,0.74,0.78,0.72
5/10/2020,0.73,0.72,0.73,0.71
,,,,
09/30/2020,0.71,0.7,0.72,0.7
09/29/2020,0.7,0.71,0.71,0.7
09/28/2020,0.7,0.7,0.71,0.69
,,,,
09/25/2020,0.7,0.71,0.71,0.69
09/24/2020,0.71,0.72,0.75,0.7
09/23/2020,0.72,0.72,0.73,0.71
09/22/2020,0.73,0.76,0.76,0.72
09/21/2020,0.74,0.76,0.78,0.74
,,,,
09/18/2020,0.75,0.76,0.78,0.75
09/17/2020,0.75,0.74,0.77,0.74
09/16/2020,0.75,0.75,0.77,0.74
09/15/2020,0.75,0.77,0.79,0.75
09/14/2020,0.76,0.75,0.77,0.75
,,,,
11/9/2020,0.77,0.76,0.77,0.74
10/9/2020,0.76,0.76,0.76,0.73
9/9/2020,0.74,0.74,0.74,0.72
8/9/2020,0.74,0.76,0.77,0.73
7/9/2020,0.76,0.77,0.79,0.74
,,,,
4/9/2020,0.77,0.78,0.78,0.75
3/9/2020,0.78,0.79,0.8,0.77
2/9/2020,0.79,0.77,0.8,0.77
1/9/2020,0.77,0.75,0.77,0.72
08/31/2020,0.76,0.77,0.81,0.73
,,,,
08/28/2020,0.77,0.74,0.77,0.73
08/27/2020,0.74,0.72,0.74,0.71
08/26/2020,0.72,0.71,0.72,0.7
08/25/2020,0.7,0.72,0.72,0.7
08/24/2020,0.72,0.71,0.72,0.71
,,,,
08/21/2020,0.71,0.72,0.74,0.7
08/20/2020,0.71,0.7,0.77,0.7
08/19/2020,0.7,0.71,0.71,0.7
08/18/2020,0.7,0.7,0.71,0.69
08/17/2020,0.7,0.7,0.71,0.69
,,,,
08/14/2020,0.7,0.69,0.71,0.69
08/13/2020,0.69,0.7,0.71,0.69
12/8/2020,0.71,0.71,0.71,0.7
11/8/2020,0.71,0.71,0.71,0.7
10/8/2020,0.71,0.7,0.72,0.69
,,,,
7/8/2020,0.71,0.72,0.72,0.68
6/8/2020,0.71,0.72,0.73,0.71
5/8/2020,0.71,0.73,0.74,0.71
4/8/2020,0.72,0.73,0.74,0.72
3/8/2020,0.72,0.72,0.74,0.71
,,,,
07/31/2020,0.72,0.72,0.74,0.72
07/30/2020,0.72,0.72,0.74,0.71
07/29/2020,0.72,0.72,0.74,0.72
07/28/2020,0.72,0.72,0.72,0.7
07/27/2020,0.72,0.72,0.72,0.69
,,,,
07/24/2020,0.72,0.73,0.73,0.7
07/23/2020,0.72,0.72,0.73,0.71
07/22/2020,0.72,0.73,0.74,0.72
07/21/2020,0.72,0.71,0.72,0.69
07/20/2020,0.7,0.69,0.7,0.67
,,,,
07/17/2020,0.68,0.68,0.68,0.63
07/16/2020,0.67,0.69,0.7,0.66
07/15/2020,0.7,0.7,0.7,0.68
07/14/2020,0.7,0.72,0.72,0.69
07/13/2020,0.72,0.73,0.74,0.69
,,,,
10/7/2020,0.73,0.74,0.75,0.72
9/7/2020,0.74,0.71,0.77,0.71
8/7/2020,0.71,0.69,0.71,0.69
7/7/2020,0.69,0.69,0.7,0.68
6/7/2020,0.69,0.68,0.69,0.67
,,,,
3/7/2020,0.68,0.69,0.69,0.64
2/7/2020,0.69,0.7,0.71,0.68
06/30/2020,0.71,0.71,0.71,0.7
06/29/2020,0.7,0.72,0.72,0.7
,,,,
06/26/2020,0.72,0.73,0.82,0.71
06/24/2020,0.73,0.7,0.73,0.7
06/23/2020,0.72,0.72,0.73,0.71
06/22/2020,0.72,0.72,0.72,0.69
,,,,
06/19/2020,0.71,0.72,0.72,0.71
06/18/2020,0.72,0.73,0.74,0.72
06/17/2020,0.73,0.73,0.73,0.71
06/16/2020,0.74,0.74,0.75,0.72
06/15/2020,0.74,0.73,0.74,0.7
,,,,
12/6/2020,0.74,0.73,0.74,0.72
11/6/2020,0.74,0.76,0.76,0.74
10/6/2020,0.75,0.77,0.77,0.75
9/6/2020,0.76,0.78,0.78,0.76
8/6/2020,0.77,0.77,0.79,0.77
,,,,
5/6/2020,0.77,0.77,0.78,0.77
4/6/2020,0.77,0.79,0.79,0.77
3/6/2020,0.79,0.77,0.79,0.77
2/6/2020,0.78,0.78,0.78,0.77
1/6/2020,0.78,0.77,0.78,0.77
,,,,
05/29/2020,0.77,0.77,0.78,0.76
05/28/2020,0.77,0.76,0.77,0.76
05/27/2020,0.76,0.77,0.78,0.75
05/26/2020,0.77,0.75,0.77,0.75
05/25/2020,0.75,0.76,0.76,0.72
,,,,
05/22/2020,0.75,0.76,0.78,0.74
05/21/2020,0.77,0.77,0.79,0.77
05/20/2020,0.77,0.77,0.79,0.77
05/19/2020,0.77,0.76,0.78,0.76
05/18/2020,0.76,0.78,0.78,0.76
,,,,
05/15/2020,0.78,0.78,0.8,0.77
05/14/2020,0.78,0.78,0.79,0.76
05/13/2020,0.78,0.78,0.79,0.77
12/5/2020,0.79,0.79,0.8,0.78
11/5/2020,0.8,0.8,0.81,0.79
,,,,
8/5/2020,0.8,0.8,0.81,0.79
7/5/2020,0.79,0.8,0.82,0.79
6/5/2020,0.79,0.79,0.81,0.78
5/5/2020,0.79,0.79,0.81,0.77
4/5/2020,0.8,0.8,0.81,0.78
,,,,
04/29/2020,0.8,0.81,0.82,0.79
04/28/2020,0.8,0.81,0.82,0.79
04/27/2020,0.8,0.8,0.83,0.79
,,,,
04/24/2020,0.79,0.78,0.84,0.78
04/23/2020,0.78,0.78,0.84,0.77
04/22/2020,0.78,0.8,0.8,0.76
04/21/2020,0.8,0.81,0.84,0.79
04/20/2020,0.81,0.83,0.83,0.79
,,,,
04/17/2020,0.84,0.87,0.88,0.81
04/16/2020,0.87,0.88,0.88,0.85
04/15/2020,0.89,0.87,0.89,0.85
04/14/2020,0.87,0.83,0.87,0.81
,,,,
9/4/2020,0.85,0.82,0.88,0.82
8/4/2020,0.82,0.79,0.88,0.77
7/4/2020,0.79,0.76,0.83,0.74
6/4/2020,0.76,0.74,0.76,0.72
,,,,
3/4/2020,0.74,0.68,0.79,0.68
2/4/2020,0.7,0.69,0.7,0.67
1/4/2020,0.7,0.67,0.7,0.66
03/31/2020,0.69,0.68,0.69,0.67
03/30/2020,0.68,0.65,0.69,0.64
,,,,
03/27/2020,0.66,0.65,0.66,0.64
03/26/2020,0.65,0.66,0.67,0.65
03/25/2020,0.66,0.65,0.66,0.62
03/24/2020,0.64,0.6,0.69,0.59
03/23/2020,0.6,0.62,0.62,0.58
,,,,
03/20/2020,0.62,0.63,0.63,0.59
03/19/2020,0.62,0.64,0.64,0.6
03/18/2020,0.64,0.64,0.67,0.61
03/17/2020,0.64,0.64,0.66,0.63
03/16/2020,0.66,0.68,0.68,0.63
,,,,
03/13/2020,0.66,0.64,0.67,0.6
12/3/2020,0.67,0.68,0.69,0.66
11/3/2020,0.68,0.69,0.7,0.68
10/3/2020,0.68,0.68,0.7,0.68
9/3/2020,0.7,0.7,0.7,0.68
,,,,
6/3/2020,0.7,0.69,0.7,0.68
5/3/2020,0.69,0.7,0.71,0.69
4/3/2020,0.69,0.69,0.7,0.68
3/3/2020,0.7,0.7,0.7,0.7
2/3/2020,0.69,0.7,0.7,0.68
,,,,
02/28/2020,0.69,0.69,0.7,0.67
02/27/2020,0.69,0.69,0.69,0.68
02/26/2020,0.69,0.7,0.71,0.68
02/25/2020,0.7,0.71,0.71,0.69
02/24/2020,0.7,0.7,0.71,0.69
,,,,
02/21/2020,0.69,0.72,0.72,0.69
02/20/2020,0.71,0.71,0.72,0.7
02/19/2020,0.7,0.68,0.71,0.68
02/18/2020,0.68,0.69,0.69,0.68
02/17/2020,0.7,0.7,0.71,0.67
,,,,
02/14/2020,0.7,0.71,0.71,0.68
02/13/2020,0.7,0.71,0.73,0.7
12/2/2020,0.71,0.73,0.73,0.69
11/2/2020,0.73,0.74,0.74,0.69
10/2/2020,0.73,0.73,0.74,0.72
,,,,
7/2/2020,0.72,0.73,0.73,0.71
6/2/2020,0.72,0.72,0.73,0.71
5/2/2020,0.72,0.72,0.74,0.71
4/2/2020,0.72,0.71,0.72,0.7
3/2/2020,0.71,0.69,0.71,0.68
,,,,
01/31/2020,0.7,0.7,0.71,0.68
01/30/2020,0.7,0.69,0.71,0.69
01/29/2020,0.71,0.72,0.72,0.68
,,,,
01/24/2020,0.72,0.71,0.73,0.69
01/23/2020,0.71,0.72,0.73,0.67
01/22/2020,0.71,0.68,0.72,0.68
01/21/2020,0.68,0.7,0.7,0.68
01/20/2020,0.7,0.71,0.72,0.69
,,,,
01/17/2020,0.71,0.71,0.73,0.7
01/16/2020,0.7,0.71,0.73,0.7
01/15/2020,0.71,0.72,0.73,0.7
01/14/2020,0.73,0.74,0.74,0.72
01/13/2020,0.75,0.75,0.76,0.71
,,,,
