date,close,open,high,low
03/22/2021,633.5,630.5,643.5,629.5
,,,,
03/19/2021,628,628,638.5,624
03/18/2021,640.5,635,651.5,632
03/17/2021,624.5,624.5,639,622
03/16/2021,630.5,639,643.5,625
03/15/2021,628,650,653,621
,,,,
12/3/2021,650.5,694,694.5,647.5
11/3/2021,680.5,658.5,683.5,657.5
10/3/2021,658.5,670,670,652
9/3/2021,644,632,664.5,613
8/3/2021,642.5,683.5,689,641
,,,,
5/3/2021,679,668.5,695,667
4/3/2021,690,702,709.5,690
3/3/2021,723,698,723,690
2/3/2021,698,712,722,692.5
1/3/2021,697,692,697,679
,,,,
02/26/2021,662.5,669,686.5,662.5
02/25/2021,691.5,700,717,691.5
02/24/2021,687,709.5,715.5,680
02/23/2021,707,697,722,697
02/22/2021,713.5,749.5,749.5,711
,,,,
02/19/2021,741,747,747.5,726
02/18/2021,747.5,767,775.5,745
02/17/2021,757.5,741,763,730.5
02/16/2021,745,762.5,766.5,741
,,,,
11/2/2021,757,763,763,749
10/2/2021,761,759,770,751.5
9/2/2021,740.5,745.5,748.5,737
8/2/2021,736.5,748,750,735
,,,,
5/2/2021,733,748,757,732.5
4/2/2021,735.5,725,742.5,710.5
3/2/2021,736,734,739.5,723
2/2/2021,724.5,740,748,723.5
1/2/2021,712,698,727.5,698
,,,,
01/29/2021,681.5,695,717,681.5
01/28/2021,681,700,719.5,681
01/27/2021,701.5,716,729,698.5
01/26/2021,718.5,745,749,715.5
01/25/2021,766.5,707,767.5,702.5
,,,,
01/22/2021,691,690,699.5,684.5
01/21/2021,682.5,680.5,700,674
01/20/2021,679.5,671,680,658
01/19/2021,655,665,673.5,648
01/18/2021,657,638.5,667.5,635.5
,,,,
01/15/2021,645,629.5,646,618
01/14/2021,629.5,608,629.5,607
01/13/2021,596,589.5,602.5,588.5
12/1/2021,590,586.5,596.5,586
11/1/2021,591,581,602,581
,,,,
8/1/2021,573,568.5,578,567.5
7/1/2021,568.5,580.5,584.5,568.5
6/1/2021,596.5,585,599,585
5/1/2021,583.5,572,586.5,565.5
4/1/2021,572.5,558,583,557.5
,,,,
12/31/2020,564,565,569,559.5
12/30/2020,559.5,542,563,539
12/29/2020,530.5,530,539,526
12/28/2020,519,539.5,542,519
,,,,
12/24/2020,556,570,571.5,556
12/23/2020,571,568,574.5,566.5
12/22/2020,572.5,574.5,578,567.5
12/21/2020,572,580.5,580.5,571
,,,,
12/18/2020,580,586,586,574.5
12/17/2020,583,580,583,574
12/16/2020,571.5,563.5,571.5,553
12/15/2020,560,571,572,560
12/14/2020,571,585.5,585.5,570
,,,,
11/12/2020,588,590,590,582.5
10/12/2020,578,580,582.5,577.5
9/12/2020,585,591,591,583
8/12/2020,583,588,590.5,582.5
7/12/2020,583.5,592.5,592.5,579.5
,,,,
4/12/2020,588.5,589,593,587
3/12/2020,589,584.5,589,579.5
2/12/2020,574,584.5,584.5,568
1/12/2020,578,573,581,571.5
11/30/2020,563,582,584.5,563
,,,,
11/27/2020,583,586,594.5,583
11/26/2020,586,578.5,586,575
11/25/2020,573,589.5,594,571
11/24/2020,584,587,590,579
11/23/2020,586,599,600,586
,,,,
11/20/2020,588,578,592,575.5
11/19/2020,573,586,587,573
11/18/2020,589,586,591,580
11/17/2020,581.5,596,596,581.5
11/16/2020,597,600,603,585.5
,,,,
11/13/2020,602,590,602,581
12/11/2020,577,570,586,570
11/11/2020,551,561,585,551
10/11/2020,595,608,611,585
9/11/2020,622.5,630.5,633,620
,,,,
6/11/2020,614.5,626.5,627,606
5/11/2020,625,610,625,609
4/11/2020,588.5,574,599.5,573.5
3/11/2020,598,597,603.5,595
2/11/2020,601.5,593,603.5,586.5
,,,,
10/30/2020,591,597,610,584.5
10/29/2020,605,589,614,587.5
10/28/2020,601,587.5,604,584
10/27/2020,585,565,588.5,560.5
,,,,
10/23/2020,561.5,560.5,564.5,557
10/22/2020,563.5,566,567.5,553
10/21/2020,566.5,568.5,573,562
10/20/2020,564.5,566.5,566.5,558.5
10/19/2020,561.5,562,568.5,558.5
,,,,
10/16/2020,557,559,563.5,552
10/15/2020,552,570,570,548.5
10/14/2020,573.5,568,574,560.5
12/10/2020,557,545,557,543.5
,,,,
9/10/2020,539.5,537.5,545,535
8/10/2020,535,538,538,531.5
7/10/2020,535,530,536,526.5
6/10/2020,527.5,527.5,529.5,525.5
5/10/2020,525,530,530,521.5
,,,,
09/30/2020,511.5,512.5,520,509
09/29/2020,505.5,515,515.5,505.5
09/28/2020,506,505,509.5,503.5
,,,,
09/25/2020,503.5,510,511.5,502
09/24/2020,505,510,512,505
09/23/2020,514,512,521.5,510
09/22/2020,511.5,513,518.5,510
09/21/2020,516.5,522,527.5,512
,,,,
09/18/2020,525,520,525,510.5
09/17/2020,527,535,536,522
09/16/2020,534.5,538,538,530.5
09/15/2020,529.5,535.5,538.5,527.5
09/14/2020,529.5,521.5,537.5,518.5
,,,,
11/9/2020,516,509,518.5,506.5
10/9/2020,506,514,518.5,506
9/9/2020,504,502,508.5,501.5
8/9/2020,508.5,517,520,502
7/9/2020,511,516,524.5,510
,,,,
4/9/2020,518,517,524.5,513
3/9/2020,534,546,548.5,533
2/9/2020,545,555,555,543.5
1/9/2020,539,537.5,547,531
08/31/2020,530.5,554.5,554.5,530.5
,,,,
08/28/2020,540.5,554,558,540.5
08/27/2020,558,554,560,547
08/26/2020,551.5,553.5,555,546
08/25/2020,544.5,548,549,537
08/24/2020,548,537.5,548,535
,,,,
08/21/2020,518,516.5,524.5,512
08/20/2020,508,508,509,502
08/19/2020,506,516,520,506
08/18/2020,512,515,516.5,509
08/17/2020,504.5,508.5,515,502
,,,,
08/14/2020,506.5,502.5,514,501.5
08/13/2020,510,528,531,510
12/8/2020,520.5,512,523,504
11/8/2020,513.5,511,526,510
10/8/2020,502,510,518,501
,,,,
7/8/2020,527.5,559,559,499.4
6/8/2020,555.5,560.5,564,543.5
5/8/2020,561,557.5,561,551
4/8/2020,550,546,556.5,540
3/8/2020,539,536,541.5,528
,,,,
07/31/2020,534,540,550,534
07/30/2020,535,547,549.5,532
07/29/2020,541.5,536.5,542.5,533
07/28/2020,543.5,535,544.5,529
07/27/2020,520,530,538,515
,,,,
07/24/2020,528,542,547,525
07/23/2020,557,546,557.5,543
07/22/2020,539,553,563,537.5
07/21/2020,564,548.5,564,544
07/20/2020,522.5,521,527.5,513
,,,,
07/17/2020,521,519,530,517
07/16/2020,513,539,542,511
07/15/2020,543,538.5,543,530.5
07/14/2020,525,529,535.5,517.5
07/13/2020,541,540.5,556,540
,,,,
10/7/2020,546.5,549,562,546
9/7/2020,563,545,564,544
8/7/2020,543,515.5,546.5,515.5
7/7/2020,516,519,531,512
6/7/2020,520,524,529,516
,,,,
3/7/2020,524.5,520,529,511.5
2/7/2020,518.5,503,519,503
06/30/2020,498.6,488.2,500,488.2
06/29/2020,486,481,493.8,481
,,,,
06/26/2020,485,486.4,493,483.6
06/24/2020,490.8,502,505,490.8
06/23/2020,497.4,480,498.6,475.2
06/22/2020,474.2,460,474.6,459.2
,,,,
06/19/2020,460.4,458,465.6,456.4
06/18/2020,458,452.4,458,445.2
06/17/2020,450.6,451.8,453.6,445
06/16/2020,448.8,449.4,452.8,445.4
06/15/2020,433.6,435,444.4,432.2
,,,,
12/6/2020,441,434.6,444.4,433
11/6/2020,442.4,450.8,455.4,442
10/6/2020,446.2,437,447.4,435.8
9/6/2020,433.8,432,435,428.2
8/6/2020,430,435,435.8,427
,,,,
5/6/2020,434.2,434,434.2,426.6
4/6/2020,435,435,435,428.6
3/6/2020,432.6,436,437.4,426.2
2/6/2020,430.4,436,436,429.2
1/6/2020,429,419.4,429.8,419.2
,,,,
05/29/2020,410.4,405.8,413.4,404
05/28/2020,408.2,421,421,404.2
05/27/2020,420,423.2,423.2,414.2
05/26/2020,425.4,422.4,428.4,419.2
05/25/2020,416.6,410,417.6,406
,,,,
05/22/2020,412.4,427,427,410
05/21/2020,433.4,436.4,437.8,431.4
05/20/2020,440,434.6,440,432
05/19/2020,430,430.2,433,425.6
05/18/2020,423,419,425.4,416.8
,,,,
05/15/2020,421.2,430,435.6,420
05/14/2020,429.4,442.763,445.754,425.411
05/13/2020,428.403,427.007,436.979,425.012
12/5/2020,429.799,427.007,433.588,424.613
11/5/2020,433.788,423.816,433.788,422.42
,,,,
8/5/2020,417.035,411.45,417.035,410.453
7/5/2020,406.065,410.453,410.453,406.065
6/5/2020,408.857,405.467,411.051,404.669
5/5/2020,404.869,400.082,406.464,399.484
4/5/2020,398.885,407.661,407.661,398.885
,,,,
