date,close,open,high,low
03/22/2021,4.47,4.52,4.52,4.41
,,,,
03/19/2021,4.51,4.57,4.59,4.43
03/18/2021,4.61,4.63,4.72,4.61
03/17/2021,4.61,4.65,4.66,4.6
03/16/2021,4.64,4.67,4.7,4.6
03/15/2021,4.64,4.69,4.69,4.57
,,,,
12/3/2021,4.63,4.88,4.89,4.61
11/3/2021,4.84,4.91,4.99,4.78
10/3/2021,4.91,5.15,5.19,4.88
9/3/2021,5,5.14,5.18,4.82
8/3/2021,5.06,5.17,5.39,5.06
,,,,
5/3/2021,5.11,5.05,5.17,5.03
4/3/2021,5.14,5.15,5.28,5.08
3/3/2021,5.22,5.03,5.34,5.01
2/3/2021,5.05,5.19,5.19,4.97
1/3/2021,5.15,4.94,5.25,4.91
,,,,
02/26/2021,4.92,4.99,5,4.86
02/25/2021,5.05,5.16,5.23,5.05
02/24/2021,5.1,5.35,5.47,5.02
02/23/2021,5.3,5.33,5.5,5.3
02/22/2021,5.4,5.17,5.5,5.13
,,,,
02/19/2021,5.08,4.81,5.14,4.73
02/18/2021,4.75,4.74,4.95,4.67
02/17/2021,4.68,4.56,4.73,4.53
02/16/2021,4.52,4.49,4.59,4.49
,,,,
11/2/2021,4.45,4.42,4.49,4.39
10/2/2021,4.43,4.38,4.48,4.37
9/2/2021,4.41,4.4,4.43,4.34
8/2/2021,4.4,4.46,4.48,4.37
,,,,
5/2/2021,4.4,4.34,4.44,4.3
4/2/2021,4.3,4.42,4.46,4.28
3/2/2021,4.46,4.43,4.48,4.37
2/2/2021,4.43,4.43,4.57,4.41
1/2/2021,4.42,4.36,4.46,4.35
,,,,
01/29/2021,4.36,4.47,4.5,4.31
01/28/2021,4.44,4.52,4.67,4.4
01/27/2021,4.6,4.53,4.67,4.42
01/26/2021,4.46,4.58,4.61,4.4
01/25/2021,4.61,4.77,4.86,4.58
,,,,
01/22/2021,4.77,4.9,4.9,4.7
01/21/2021,4.88,5.01,5.03,4.84
01/20/2021,4.97,5.13,5.24,4.82
01/19/2021,5.1,5.21,5.29,5.04
01/18/2021,5.12,5,5.28,4.98
,,,,
01/15/2021,5.01,5.05,5.13,4.92
01/14/2021,5.05,4.93,5.13,4.93
01/13/2021,4.92,5,5.11,4.88
12/1/2021,4.94,4.66,5,4.64
11/1/2021,4.66,4.51,4.8,4.43
,,,,
8/1/2021,4.41,3.95,4.41,3.95
7/1/2021,4.45,4.77,4.77,4.45
6/1/2021,5.02,4.76,5.04,4.7
5/1/2021,4.85,4.32,4.96,4.32
4/1/2021,4.47,4.36,4.5,4.28
,,,,
12/31/2020,4.45,4.44,4.52,4.41
12/30/2020,4.51,4.61,4.63,4.46
12/29/2020,4.62,4.6,4.67,4.56
12/28/2020,4.61,4.46,4.73,4.46
,,,,
12/24/2020,4.45,4.34,4.51,4.34
12/23/2020,4.36,4.4,4.44,4.33
12/22/2020,4.42,4.41,4.49,4.38
12/21/2020,4.44,4.56,4.56,4.39
,,,,
12/18/2020,4.56,4.36,4.61,4.35
12/17/2020,4.41,4.41,4.47,4.34
12/16/2020,4.39,4.32,4.47,4.32
12/15/2020,4.31,4.32,4.37,4.25
12/14/2020,4.34,4.36,4.43,4.3
,,,,
11/12/2020,4.33,4.4,4.47,4.33
10/12/2020,4.38,4.42,4.43,4.35
9/12/2020,4.42,4.48,4.5,4.38
8/12/2020,4.47,4.56,4.57,4.46
7/12/2020,4.54,4.57,4.6,4.5
,,,,
4/12/2020,4.57,4.65,4.65,4.57
3/12/2020,4.65,4.65,4.7,4.62
2/12/2020,4.65,4.63,4.72,4.59
1/12/2020,4.65,4.69,4.72,4.61
11/30/2020,4.66,4.78,4.81,4.66
,,,,
11/27/2020,4.8,4.76,4.83,4.75
11/26/2020,4.78,4.82,4.83,4.75
11/25/2020,4.82,4.85,4.91,4.78
11/24/2020,4.82,4.71,4.86,4.68
11/23/2020,4.77,4.79,4.81,4.68
,,,,
11/20/2020,4.79,4.82,4.84,4.76
11/19/2020,4.83,4.84,4.9,4.8
11/18/2020,4.84,4.89,4.89,4.8
11/17/2020,4.86,4.9,4.92,4.82
11/16/2020,4.89,4.96,5.04,4.84
,,,,
11/13/2020,4.98,5.15,5.2,4.88
12/11/2020,5.33,5.53,5.6,5.28
11/11/2020,5.55,5.26,5.55,5.22
10/11/2020,5.22,5.27,5.34,5.1
9/11/2020,5.18,5.22,5.28,5.13
,,,,
6/11/2020,5.12,5.13,5.22,5.07
5/11/2020,5.08,5.08,5.2,5.03
4/11/2020,4.94,4.89,5.09,4.89
3/11/2020,4.94,4.8,4.98,4.78
2/11/2020,4.78,4.8,4.85,4.74
,,,,
10/30/2020,4.76,5.03,5.03,4.69
10/29/2020,4.98,5.09,5.11,4.93
10/28/2020,5.16,5.45,5.45,5.12
10/27/2020,5.43,5.45,5.69,5.42
,,,,
10/23/2020,5.53,5.37,5.58,5.28
10/22/2020,5.31,5.84,5.88,5.31
10/21/2020,6,5.4,6.12,5.4
10/20/2020,5.4,5.3,5.4,5.28
10/19/2020,5.3,5.33,5.48,5.24
,,,,
10/16/2020,5.33,5.46,5.5,5.26
10/15/2020,5.42,5.45,5.52,5.37
10/14/2020,5.51,5.5,5.61,5.38
12/10/2020,5.4,5.02,5.41,5.01
,,,,
9/10/2020,5.02,5.17,5.17,4.96
8/10/2020,5.13,5.15,5.2,5.02
7/10/2020,5.16,5.07,5.2,5.01
6/10/2020,5.04,5.09,5.12,5
5/10/2020,5.09,5.09,5.19,4.93
,,,,
09/30/2020,5.05,5.24,5.4,4.97
09/29/2020,5.05,5.16,5.16,4.97
09/28/2020,5.13,5.25,5.27,5.06
,,,,
09/25/2020,5.29,5.26,5.43,5.23
09/24/2020,5.26,5.2,5.31,5.2
09/23/2020,5.31,5.32,5.38,5.26
09/22/2020,5.38,5.45,5.52,5.33
09/21/2020,5.52,5.73,5.75,5.52
,,,,
09/18/2020,5.73,5.46,5.78,5.46
09/17/2020,5.47,5.58,5.61,5.4
09/16/2020,5.52,5.53,5.58,5.48
09/15/2020,5.52,5.62,5.69,5.52
09/14/2020,5.69,5.4,5.81,5.4
,,,,
11/9/2020,5.4,5.33,5.47,5.29
10/9/2020,5.39,5.55,5.55,5.38
9/9/2020,5.42,5.25,5.43,5.25
8/9/2020,5.35,5.25,5.54,5.23
7/9/2020,5.23,5.29,5.42,5.22
,,,,
4/9/2020,5.29,5.35,5.39,5.23
3/9/2020,5.41,5.39,5.54,5.33
2/9/2020,5.43,5.61,5.69,5.38
1/9/2020,5.61,5.36,5.68,5.32
08/31/2020,5.49,5.7,5.88,5.49
,,,,
08/28/2020,5.72,5.81,6.01,5.69
08/27/2020,5.8,6.22,6.25,5.77
08/26/2020,6.18,6.15,6.42,6.13
08/25/2020,6.2,6.3,6.35,6.11
08/24/2020,6.32,6.45,6.47,6.19
,,,,
08/21/2020,6.4,6.19,6.58,6.07
08/20/2020,6.21,5.92,6.3,5.83
08/19/2020,6.03,6.5,6.5,6.02
08/18/2020,6.53,5.8,6.7,5.74
08/17/2020,5.88,5.92,6,5.72
,,,,
08/14/2020,5.92,5.7,6.04,5.45
08/13/2020,5.74,4.9,5.74,4.88
12/8/2020,4.57,4.54,4.6,4.47
11/8/2020,4.56,4.47,4.59,4.46
10/8/2020,4.43,4.4,4.47,4.32
,,,,
7/8/2020,4.35,4.4,4.44,4.3
6/8/2020,4.4,4.5,4.5,4.37
5/8/2020,4.48,4.36,4.51,4.35
4/8/2020,4.34,4.34,4.4,4.28
3/8/2020,4.3,4.27,4.33,4.27
,,,,
07/31/2020,4.32,4.29,4.37,4.27
07/30/2020,4.27,4.32,4.36,4.25
07/29/2020,4.32,4.26,4.36,4.24
07/28/2020,4.24,4.33,4.35,4.21
07/27/2020,4.27,4.37,4.39,4.26
,,,,
07/24/2020,4.33,4.4,4.41,4.29
07/23/2020,4.42,4.45,4.46,4.32
07/22/2020,4.48,4.52,4.63,4.46
07/21/2020,4.49,4.51,4.56,4.47
07/20/2020,4.49,4.54,4.56,4.44
,,,,
07/17/2020,4.53,4.62,4.72,4.52
07/16/2020,4.55,4.64,4.64,4.53
07/15/2020,4.61,4.8,4.8,4.56
07/14/2020,4.7,4.67,4.76,4.59
07/13/2020,4.62,4.67,4.71,4.59
,,,,
10/7/2020,4.61,4.7,4.75,4.57
9/7/2020,4.78,4.83,4.86,4.74
8/7/2020,4.78,4.71,4.84,4.66
7/7/2020,4.78,5.02,5.07,4.73
6/7/2020,4.87,4.44,4.89,4.44
,,,,
3/7/2020,4.43,4.4,4.44,4.33
2/7/2020,4.37,4.28,4.37,4.21
06/30/2020,4.19,4.24,4.27,4.16
06/29/2020,4.2,4.34,4.34,4.14
,,,,
06/26/2020,4.32,4.28,4.42,4.28
06/24/2020,4.44,4.5,4.5,4.42
06/23/2020,4.42,4.32,4.42,4.23
06/22/2020,4.35,4.44,4.44,4.32
,,,,
06/19/2020,4.45,4.41,4.48,4.37
06/18/2020,4.38,4.44,4.44,4.36
06/17/2020,4.43,4.36,4.46,4.33
06/16/2020,4.38,4.33,4.44,4.32
06/15/2020,4.25,4.31,4.33,4.22
,,,,
12/6/2020,4.33,4.37,4.39,4.29
11/6/2020,4.44,4.59,4.64,4.44
10/6/2020,4.64,4.67,4.73,4.61
9/6/2020,4.65,4.65,4.69,4.5
8/6/2020,4.6,4.67,4.7,4.56
,,,,
5/6/2020,4.62,4.47,4.63,4.45
4/6/2020,4.45,4.48,4.55,4.39
3/6/2020,4.45,4.45,4.47,4.41
2/6/2020,4.32,4.43,4.51,4.28
1/6/2020,4.42,4.46,4.55,4.4
,,,,
05/29/2020,4.329,4.406,4.435,4.291
05/28/2020,4.377,4.377,4.474,4.291
05/27/2020,4.377,4.358,4.397,4.31
05/26/2020,4.31,4.271,4.358,4.252
05/25/2020,4.233,4.223,4.262,4.165
,,,,
05/22/2020,4.242,4.484,4.493,4.175
05/21/2020,4.541,4.647,4.676,4.503
05/20/2020,4.58,4.744,4.773,4.57
05/19/2020,4.753,4.811,4.888,4.744
05/18/2020,4.705,4.628,4.744,4.561
,,,,
05/15/2020,4.58,4.57,4.618,4.503
05/14/2020,4.503,4.599,4.609,4.435
05/13/2020,4.618,4.763,4.763,4.599
12/5/2020,4.725,4.85,4.869,4.725
11/5/2020,4.831,4.831,4.908,4.821
,,,,
8/5/2020,4.802,4.753,4.821,4.734
7/5/2020,4.715,4.773,4.782,4.696
6/5/2020,4.782,4.725,4.821,4.705
5/5/2020,4.725,4.676,4.734,4.647
4/5/2020,4.618,4.715,4.821,4.58
,,,,
04/29/2020,4.831,4.917,4.917,4.802
04/28/2020,4.898,4.966,4.975,4.869
04/27/2020,4.985,4.85,4.985,4.84
,,,,
04/24/2020,4.792,4.802,4.917,4.773
04/23/2020,4.831,4.753,4.888,4.744
04/22/2020,4.725,4.676,4.763,4.58
04/21/2020,4.705,4.84,4.85,4.696
04/20/2020,4.879,4.821,4.917,4.782
,,,,
04/17/2020,4.821,4.802,4.917,4.782
04/16/2020,4.744,4.811,4.831,4.734
04/15/2020,4.85,5.062,5.072,4.84
04/14/2020,5.033,5.043,5.072,4.917
,,,,
9/4/2020,5.072,4.995,5.12,4.995
8/4/2020,4.975,5.11,5.139,4.956
7/4/2020,5.149,5.072,5.168,4.937
6/4/2020,4.956,4.667,4.985,4.667
,,,,
3/4/2020,4.667,4.609,4.696,4.484
2/4/2020,4.406,4.32,4.435,4.281
1/4/2020,4.281,4.339,4.377,4.252
03/31/2020,4.31,4.3,4.387,4.242
03/30/2020,4.204,4.156,4.32,4.117
,,,,
03/27/2020,4.214,4.416,4.484,4.204
03/26/2020,4.291,4.368,4.445,4.281
03/25/2020,4.406,4.474,4.532,4.281
03/24/2020,4.339,4.098,4.493,4.098
03/23/2020,3.934,3.982,4.117,3.934
,,,,
03/20/2020,4.204,3.886,4.214,3.886
03/19/2020,3.76,4.05,4.146,3.703
03/18/2020,4.03,4.339,4.416,4.021
03/17/2020,4.455,4.541,4.676,4.455
03/16/2020,4.628,4.705,4.773,4.599
,,,,
03/13/2020,4.821,4.628,4.869,4.57
12/3/2020,5.052,5.274,5.284,5.004
11/3/2020,5.39,5.592,5.602,5.39
10/3/2020,5.583,5.669,5.708,5.583
9/3/2020,5.66,5.824,5.824,5.65
,,,,
6/3/2020,5.911,5.988,6.007,5.882
5/3/2020,6.055,5.968,6.123,5.968
4/3/2020,5.959,5.968,6.007,5.949
3/3/2020,5.968,6.045,6.065,5.968
2/3/2020,6.026,6.055,6.074,5.939
,,,,
02/28/2020,5.93,5.959,6.026,5.92
02/27/2020,6.094,6.123,6.132,6.017
02/26/2020,6.084,6.055,6.19,6.055
02/25/2020,6.238,6.296,6.306,6.219
02/24/2020,6.344,6.412,6.412,6.306
,,,,
02/21/2020,6.45,6.45,6.537,6.422
02/20/2020,6.518,6.576,6.595,6.47
02/19/2020,6.547,6.479,6.547,6.45
02/18/2020,6.441,6.576,6.576,6.422
02/17/2020,6.547,6.46,6.566,6.45
,,,,
02/14/2020,6.47,6.45,6.499,6.422
02/13/2020,6.479,6.585,6.585,6.47
12/2/2020,6.508,6.46,6.557,6.46
11/2/2020,6.518,6.537,6.605,6.47
10/2/2020,6.518,6.557,6.576,6.489
,,,,
7/2/2020,6.663,6.566,6.672,6.508
6/2/2020,6.566,6.393,6.576,6.325
5/2/2020,6.306,6.277,6.315,6.2
4/2/2020,6.315,6.277,6.344,6.248
3/2/2020,6.306,6.296,6.441,6.287
,,,,
01/31/2020,6.306,6.325,6.364,6.296
01/30/2020,6.267,6.393,6.45,6.267
01/29/2020,6.422,6.47,6.47,6.364
,,,,
01/24/2020,6.557,6.518,6.595,6.518
01/23/2020,6.499,6.798,6.826,6.489
01/22/2020,6.884,6.913,6.913,6.769
01/21/2020,6.846,7.096,7.096,6.826
01/20/2020,7.096,7.039,7.106,6.981
,,,,
01/17/2020,6.904,6.933,6.981,6.875
01/16/2020,6.923,6.875,6.933,6.836
01/15/2020,6.855,6.923,7.019,6.817
01/14/2020,6.952,6.961,7.01,6.913
01/13/2020,6.865,6.875,6.894,6.807
,,,,
10/1/2020,6.807,6.846,6.875,6.74
9/1/2020,6.855,6.894,6.904,6.788
8/1/2020,6.817,6.865,6.865,6.74
7/1/2020,6.894,6.981,7.019,6.875
6/1/2020,6.961,7.029,7.029,6.894
,,,,
3/1/2020,7.029,7.077,7.096,7
2/1/2020,7.058,7.087,7.087,7
12/31/2019,7.077,7.039,7.106,7.019
12/30/2019,7.058,7.01,7.106,6.99
,,,,
12/27/2019,7.01,6.942,7.019,6.923
12/24/2019,6.933,6.923,6.99,6.865
12/23/2019,6.913,6.971,6.99,6.807
,,,,
12/20/2019,6.99,6.749,7,6.74
12/19/2019,6.749,6.769,6.769,6.605
12/18/2019,6.769,6.749,6.817,6.711
12/17/2019,6.759,6.72,6.798,6.672
12/16/2019,6.711,6.72,6.749,6.692
,,,,
12/13/2019,6.769,6.711,6.769,6.682
12/12/2019,6.663,6.605,6.711,6.576
11/12/2019,6.566,6.557,6.595,6.528
10/12/2019,6.614,6.605,6.653,6.566
9/12/2019,6.624,6.653,6.653,6.547
,,,,
6/12/2019,6.643,6.566,6.643,6.537
5/12/2019,6.537,6.566,6.566,6.479
4/12/2019,6.518,6.508,6.566,6.45
3/12/2019,6.518,6.364,6.518,6.364
2/12/2019,6.46,6.45,6.47,6.287
,,,,
11/29/2019,6.46,6.557,6.585,6.412
11/28/2019,6.653,6.798,6.798,6.614
11/27/2019,6.836,6.952,6.952,6.817
11/26/2019,6.913,7.183,7.183,6.913
11/25/2019,6.961,6.971,6.971,6.884
,,,,
11/22/2019,6.923,6.961,7,6.894
11/21/2019,6.942,7.048,7.048,6.855
11/20/2019,7.058,7.058,7.058,6.933
11/19/2019,7.116,6.923,7.125,6.913
11/18/2019,6.961,6.942,6.971,6.884
,,,,
11/15/2019,6.875,6.971,6.981,6.846
11/14/2019,6.904,6.99,7.01,6.865
11/13/2019,6.933,6.99,7.077,6.875
12/11/2019,7.096,7.203,7.203,7
11/11/2019,7.096,7.376,7.405,7.029
,,,,
8/11/2019,7.405,7.511,7.579,7.347
7/11/2019,7.559,7.521,7.598,7.492
6/11/2019,7.54,7.588,7.617,7.521
5/11/2019,7.579,7.607,7.607,7.511
4/11/2019,7.579,7.636,7.733,7.55
,,,,
1/11/2019,7.501,7.492,7.559,7.453
10/31/2019,7.492,7.588,7.617,7.492
10/30/2019,7.53,7.579,7.598,7.482
10/29/2019,7.598,7.675,7.742,7.55
10/28/2019,7.694,7.694,7.791,7.685
,,,,
10/25/2019,7.694,7.8,7.82,7.656
10/24/2019,7.81,7.82,7.858,7.723
10/23/2019,7.723,7.791,7.791,7.704
10/22/2019,7.733,8.041,8.041,7.704
10/21/2019,8.041,7.945,8.08,7.945
,,,,
10/18/2019,8.022,8.041,8.061,7.935
10/17/2019,8.022,7.974,8.07,7.906
10/16/2019,7.993,8.041,8.138,7.964
10/15/2019,8.08,8.282,8.311,8.07
10/14/2019,8.331,8.321,8.446,8.234
,,,,
11/10/2019,8.369,8.244,8.408,8.109
10/10/2019,8.138,8.051,8.186,7.955
9/10/2019,8.08,8.09,8.119,8.012
8/10/2019,8.109,8.003,8.186,8.003
,,,,
4/10/2019,8.061,8.176,8.263,8.012
3/10/2019,8.157,8.032,8.263,8.032
2/10/2019,8.138,7.887,8.205,7.877
09/30/2019,8.022,7.926,8.119,7.887
,,,,
09/27/2019,7.897,7.906,7.984,7.858
09/26/2019,7.906,7.926,7.964,7.8
09/25/2019,7.964,7.984,8.012,7.916
09/24/2019,7.974,7.964,8.032,7.945
09/23/2019,7.974,8.032,8.041,7.916
,,,,
09/20/2019,7.964,8.08,8.099,7.916
09/19/2019,7.984,8.09,8.09,7.974
09/18/2019,8.07,8.08,8.196,8.041
09/17/2019,8.012,8.07,8.119,7.974
09/16/2019,8.147,8.109,8.234,8.061
,,,,
09/13/2019,8.186,8.196,8.234,8.099
12/9/2019,8.167,8.176,8.196,7.993
11/9/2019,8.157,8.138,8.176,7.974
10/9/2019,8.138,8.08,8.254,8.032
9/9/2019,7.752,7.665,7.868,7.646
,,,,
6/9/2019,7.704,7.656,7.849,7.588
5/9/2019,7.656,7.685,7.752,7.588
4/9/2019,7.685,7.463,7.8,7.463
3/9/2019,7.473,7.482,7.54,7.395
2/9/2019,7.569,7.521,7.579,7.473
,,,,
08/30/2019,7.53,7.627,7.627,7.434
08/29/2019,7.55,7.473,7.579,7.405
08/28/2019,7.511,7.55,7.646,7.501
08/27/2019,7.511,7.617,7.617,7.463
08/26/2019,7.559,7.424,7.579,7.386
,,,,
08/23/2019,7.733,7.617,7.771,7.501
08/22/2019,7.598,7.81,7.81,7.54
08/21/2019,7.752,7.559,7.829,7.54
08/20/2019,7.569,7.405,7.781,7.405
08/19/2019,7.53,7.501,7.636,7.366
,,,,
08/16/2019,7.579,7.714,7.849,7.54
08/15/2019,7.54,6.836,7.617,6.798
08/14/2019,6.798,6.942,6.942,6.769
08/13/2019,6.865,6.855,6.99,6.855
12/8/2019,6.961,6.981,7.106,6.952
,,,,
9/8/2019,6.981,6.923,7.019,6.923
8/8/2019,6.904,6.904,7.039,6.855
7/8/2019,6.875,6.904,6.961,6.769
6/8/2019,6.952,6.788,7.048,6.711
